framework,date,questions
knockout.js,2013-08-01 - 2013-09-01,363
knockout.js,2013-10-01 - 2013-11-01,422
knockout.js,2013-05-01 - 2013-06-01,430
knockout.js,2011-12-01 - 2012-01-01,100
knockout.js,2012-11-01 - 2012-12-01,332
knockout.js,2014-04-01 - 2014-05-01,369
knockout.js,2011-10-01 - 2011-11-01,60
knockout.js,2010-06-01 - 2010-07-01,0
knockout.js,2013-11-01 - 2013-12-01,419
knockout.js,2013-03-01 - 2013-04-01,455
knockout.js,2012-02-01 - 2012-03-01,170
knockout.js,2011-07-01 - 2011-08-01,44
knockout.js,2012-08-01 - 2012-09-01,274
knockout.js,2014-05-01 - 2014-06-01,365
knockout.js,2014-08-01 - 2014-09-01,322
knockout.js,2010-07-01 - 2010-08-01,0
knockout.js,2012-10-01 - 2012-11-01,314
knockout.js,2010-12-01 - 2011-01-01,14
derby,2011-08-01 - 2011-09-01,9
derby,2012-01-01 - 2012-02-01,23
derby,2010-09-01 - 2010-10-01,14
derby,2011-03-01 - 2011-04-01,10
derby,2010-11-01 - 2010-12-01,5
derby,2014-01-01 - 2014-02-01,34
derby,2014-03-01 - 2014-04-01,49
derby,2012-07-01 - 2012-08-01,31
derby,2010-01-01 - 2010-02-01,4
derby,2011-02-01 - 2011-03-01,15
derby,2011-09-01 - 2011-10-01,10
derby,2010-03-01 - 2010-04-01,11
derby,2013-02-01 - 2013-03-01,26
derby,2010-02-01 - 2010-03-01,12
derby,2011-06-01 - 2011-07-01,10
derby,2010-04-01 - 2010-05-01,7
derby,2014-02-01 - 2014-03-01,37
derby,2013-07-01 - 2013-08-01,15
derby,2012-03-01 - 2012-04-01,23
derby,2010-10-01 - 2010-11-01,11
derby,2011-11-01 - 2011-12-01,19
derby,2011-01-01 - 2011-02-01,13
derby,2012-06-01 - 2012-07-01,20
derby,2012-09-01 - 2012-10-01,23
derby,2012-12-01 - 2013-01-01,18
derby,2011-04-01 - 2011-05-01,12
derby,2010-08-01 - 2010-09-01,17
derby,2011-05-01 - 2011-06-01,14
derby,2013-09-01 - 2013-10-01,26
derby,2012-05-01 - 2012-06-01,22
derby,2014-09-01 - 2014-10-01,25
derby,2013-04-01 - 2013-05-01,40
derby,2012-04-01 - 2012-05-01,23
derby,2014-06-01 - 2014-07-01,23
derby,2014-07-01 - 2014-08-01,29
derby,2010-05-01 - 2010-06-01,6
derby,2013-01-01 - 2013-02-01,20
derby,2013-12-01 - 2014-01-01,30
derby,2013-06-01 - 2013-07-01,22
derby,2013-08-01 - 2013-09-01,21
derby,2013-10-01 - 2013-11-01,33
derby,2013-05-01 - 2013-06-01,22
derby,2011-12-01 - 2012-01-01,14
derby,2012-11-01 - 2012-12-01,22
derby,2014-04-01 - 2014-05-01,46
derby,2011-10-01 - 2011-11-01,16
derby,2010-06-01 - 2010-07-01,8
derby,2013-11-01 - 2013-12-01,40
derby,2013-03-01 - 2013-04-01,34
derby,2012-02-01 - 2012-03-01,22
derby,2011-07-01 - 2011-08-01,16
derby,2012-08-01 - 2012-09-01,24
derby,2014-05-01 - 2014-06-01,33
derby,2014-08-01 - 2014-09-01,27
derby,2010-07-01 - 2010-08-01,10
derby,2012-10-01 - 2012-11-01,17
derby,2010-12-01 - 2011-01-01,10
